#NSGA2
popsize 50
maxGen 100
numVar 1
numObj 3
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	50
totalTime	0.46771
firstFrontCount	1
frontCount	50
avgEvalTime	0.00896027
#end
Var1	Obj1	Obj2	Obj3	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	



#Generation 30 / 100
currentGen	30
evaluateCount	1500
totalTime	13.8381
firstFrontCount	50
frontCount	1
avgEvalTime	0.0083956
#end
Var1	Obj1	Obj2	Obj3	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	



#Generation 40 / 100
currentGen	40
evaluateCount	2000
totalTime	19.3468
firstFrontCount	50
frontCount	1
avgEvalTime	0.0125401
#end
Var1	Obj1	Obj2	Obj3	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	



#Generation 50 / 100
currentGen	50
evaluateCount	2500
totalTime	24.7688
firstFrontCount	50
frontCount	1
avgEvalTime	0.00950683
#end
Var1	Obj1	Obj2	Obj3	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
0	0.0709733	0.0596758	0.0582112	
